Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
1371,"Saquinho De Roupa Suja E Limpa Para Creche, Escola 2 Unid",5.0,23.0,,the gift bolsas,pvc,Bebês,não definido,"São ótimos. Material resistente. Bom acabamento. Enfim, atenderam às expectativas.","Achei ótimo. Maior do que pensei até. Resistente, porém, ele veio com o cheiro do material muito forte, tive que lavá-lo. Fora isso é top.",Ótimo produto.,+500,36.9,0.9999999999999999,0.0024239753195240193,,0.044370928685924765,761,129,1,,0.00045475216007276033,0.00045475216007276033
1372,Conjunto Roupa Infantil Jeans Blusinha E Shorts Menina Luxo,,,,baby store,,Meninas,não definido,,,,+25,,,,,,87,178,1,25.0,0.00045475216007276033,
1373,Calça Country Carpinteira Masculina Cowboy Texana Boiadeiros,4.6,22.0,,os boiadeiros,algodão,Masculino,outono/inverno,Excelente produto.,Produto de qualidade exelente.,Muito boa a calça qualidade excelente.,+100,139.8,0.8518518518518517,0.0023137946231820182,,0.21984243375055423,581,25,3,100.0,0.0018190086402910413,0.17644383810823103
1374,Bermuda Do São Paulo Masculina Estádio,4.5,2.0,50.0,sao paulo,poliéster,Masculino,outono/inverno,"O produto é bom e bonito, mas o tamanho gg é menor que o gg das marcas esportivas tradicionais.",,,+5,129.99,0.8148148148148148,0.00011018069634200089,0.7377049180327869,0.20311380921523825,691,122,3,5.0,0.00045475216007276033,0.11732605729877217
1375,Body Manga Curta 1 2 3 4 Anos Liso Basico,5.0,5.0,,basikinhos,,Bebês,primavera/verão,"Body fresquinho e deu certo pro que precisava, cor super vibrante. A única coisa que não gostei muito é que a gola fica um pouco longe do pescoço, no mais, recomendo.",,,+100,19.79,0.9999999999999999,0.00044072278536800354,,0.015193888339415432,106,178,7,100.0,0.00045475216007276033,
1376,Kit Para Passar Veneno + Avental + Luva Nitrílica + Máscara,5.0,2.0,,agrovest,,Sem gênero,não definido,Muito bom veio do tamanho certinho e as luvas parecem ser muito boas também.,,,+25,,0.9999999999999999,0.00011018069634200089,,,16,178,1,25.0,0.0009095043201455207,
1377,Kit 2 Tapa Bumbum Com Fecho E Bolso Celular Fitness,,,,4 estações,,Feminino,não definido,,,,+25,39.9,,,,0.04948671600559326,1,178,1,25.0,0.00045475216007276033,
1378,Short Jeans Feminino Cintura Alta Moda Atacado Verao Claro.,,,10.0,wreis jeans,algodão,Feminino,primavera/verão,,,,4,49.91,,,0.0819672131147541,0.06655639302888715,825,25,7,4.0,0.004092769440654843,0.17644383810823103
1379,Calça Jogger Color Peluciada Lilás,,,,larel,poliéster,Feminino,outono/inverno,,,,1,49.9,,,,0.06653934040448825,428,122,3,1.0,0.0031832651205093224,0.11732605729877217
1380,Conjunto De Balé Roupa Kit Completo Ballet Infantil,4.8,178.0,,balé ballet lory,,Feminino,não definido,"Amei ,veio certinho.",Minha filha tem três anos e ficou perfeito e ela adorou.,"Saia e body muito pequeno.
, não é tamanho 9 e meio serve 5 anos, não gostei.",+1000,117.97,0.9259259259259259,0.019501983252534157,,0.18261655468776647,100,178,1,1000.0,0.00045475216007276033,
1381,Cola Para Laços Girlie Glue,4.8,10.0,,girlie glue,,Bebês,não definido,Bom produto.,,,+100,,0.9259259259259259,0.000991626267078008,,,332,178,1,100.0,0.00045475216007276033,
1382,Bermuda Cintura Alta Modeladora Control Zero Barriga Dilady,,,,dilady,microfibra,Feminino,primavera/verão,,,,+5,78.9,,,,0.11599195116128375,231,101,7,5.0,0.001364256480218281,0.030013642564802184
1383,Kit 5 Cuecas Anti Assadura Sem Atrito Academia E Corrida,5.0,11.0,16.0,keeper,microfibra,Masculino,primavera/verão,Mt bm.,Não foi testado o suficiente para uma opinião mais acertiva.,Maravilhoso. Pode comprar sem medo. Não encolhe.,+50,149.97,0.9999999999999999,0.0011018069634200088,0.18032786885245902,0.23718495276423043,406,101,7,50.0,0.008640291041382447,0.030013642564802184
1384,Calça Jeans Infantil Masculina Roupa Brim Meninos,4.8,137.0,11.0,produto nacional,jeans ou brim,Meninos,não definido,Gostei muito. Muito lindo. Mas dou um conselho quem comprar pede uns 2 números maior pq ela tem a forma pequena. Mas é linda me apaixonei pela calça ficou certinho no meu filho.,Meu filho tem 7 anos e peguei o tamanho 8. Ficou perfeito.,"Meu filho tem 1 ano e 4 meses comprei de 3 anos, pelas medidas fornecidas, e ficou perfeito uns 2 dedinho grande mas nada que atrapalhe, afinal nessa idade creçem rapido, linda as cores comprei caramelo e preto, caimento perfeito.",+1000,46.82,0.9259259259259259,0.01498457470251212,0.09836065573770492,0.061287132089628604,628,82,1,1000.0,0.0018190086402910413,0.00045475216007276033
1385,10 Cabides Pvc Biquini Maiôs Roupa Praia Adulto  Feminino,4.7,3.0,11.0,artinplast,,Feminino,não definido,Muito bom atendeu minhas nececidades.,"O produto é muito bom, gostei do produto.",Bom. Um pouco frágil mais tá compatível com o preço!.,+50,67.81,0.888888888888889,0.0002203613926840018,0.09836065573770492,0.09708059070290918,56,178,1,50.0,0.00045475216007276033,
1386,Kit Com 05 Shorts Estampado Feminino Adulto Extra Plus-size,4.1,12.0,5.0,voluccy,poliéster,Feminino,primavera/verão,São lindos. Atendeu minhas espectativas.,Eu achei o protudo bom.,"O tecido é ótimo, as estampas bonitas, só achei grande demais, de resto é bom.",+100,78.1,0.6666666666666666,0.0012119876597620099,0.0,0.11462774120937211,811,122,7,100.0,0.0009095043201455207,0.11732605729877217
1387,Saia Lese Branca Ração Luxo Umbanda Candomblé Pronta Entrega,,,,fenix roupas afro religiosas,,Feminino,não definido,,,,+25,78.98,,,,0.1161283721564749,296,178,1,25.0,0.002728512960436562,
1388,Bory Do Bebê Mesversário Temático Do Sonic + Touca,5.0,3.0,,gsp_kids,,Bebês,primavera/verão,"O produto é excelente, mas não pode ser lavado na lava e seca, pois encolhe.
Meu filho vestia rn quando comprei o p, então coloquei na lava e seca e encolheu, ficando o tamanho exato para ele.",Tecido excelente.,"Produto lindo, ainda não lavei, mas creio que seja bom sim, pelo tecido. O desenho é lindo!!.",+5,36.38,0.9999999999999999,0.0002203613926840018,,0.043484192217182235,346,178,7,5.0,0.00045475216007276033,
1389,Calça Jeans Feminina Cintura Alta Empina Bumbum Com Lycra,3.0,5.0,,rebel cat,tecido,Feminino,outono/inverno,Devolvido.,"Achei sem elestano.
Dessa vez o produto não alcançou minhas expectativas.",,+100,57.99,0.2592592592592594,0.00044072278536800354,,0.0803349135431943,647,157,3,100.0,0.008640291041382447,0.005457025920873124
1390,Kit Casal Short Moda Praia Verão Bermuda Tactel Love Boné,,,,relaxado,tactel,Sem gênero,primavera/verão,,,,+5,149.99,,,,0.23721905801302826,650,155,7,5.0,0.01182355616189177,0.004547521600727604
1391,Organizador De Viagem Tamanho G (saco Para Roupa Suja),4.9,14.0,,gobanners,,,não definido,Gostei muito do produto! cheiro um pouco forte…. Mais acho que com o tempo e limpeza amenize!.,Ótimo produto.,"Prático, espaçoso e resistente. Amei!.",+100,,0.9629629629629631,0.0014323490524460116,,,336,178,1,100.0,0.0018190086402910413,
1392,Lacres De Autênticidade Para Tags De Roupas (500unidades),4.8,51.0,,universo textil,,Sem gênero,não definido,Excelente produto.,Qualidade ruim e lâmpadas fracas.,Muito bom.,+1000,34.9,0.9259259259259259,0.005509034817100044,,0.04096040380614577,789,178,1,1000.0,0.0018190086402910413,
1393,Conjunto 2 Bermudas Tactel Verão Casal Love You Combinando,,,,relaxado,poliéster,Sem gênero,primavera/verão,,,,4,78.99,,,,0.11614542478087378,650,122,7,4.0,0.01182355616189177,0.11732605729877217
1394,Roupa Ballet Regata Infantil,4.8,15.0,,gran ballet,,Meninas,não definido,"Perfeito, muito boa qualidade confortável e ficou lindo. O tecido não é fino, eu amei.",O produto é lindo.,A meia calça veio tamanho adulto.,+100,127.9,0.9259259259259259,0.0015425297487880124,,0.1995498107158692,340,178,1,100.0,0.010459299681673489,
1395,Calça Jeans Feminina Sawary Roupas Femininas Moda Tendência,,,,sawary,jeans,Feminino,outono/inverno,,,,3,130.4,,,,0.20381296681559294,692,75,3,3.0,0.0068212824010914054,0.030013642564802184
1396,Saída De Maternidade Personalizada Menina Luxo,4.8,362.0,21.0,nika baby,,Bebês,não definido,"O produto é perfeito, tem um tecido fresquinho mas reforçado, e lindo brilhoso um luxo , pelo preço que foi eu me senti saindo na vantagem de tão top que é. Minha irmã adorou comprei de presente pra minha sobrinha, pode comprar sem medo, é top. Vale cada centavo e mais um pouco. Bordaram certinho o nome que pedi, e eu comprei num dia, dois dias depois já havia chegado. Parabéns pelo ótimo trabalho, vocês são nota 1000.","Maravilhoso. Estou apaixonada, comprei pra dar de presente para minha cunhada , mas quem ficou apaixonada fui eu. Pra quem tem dúvida não fique porque é perfeito tanto na qualidade quento na beleza, a manta é forrada, o vestido também, a renda do vestido é perfeita , o macacão o pano é grosso tem renda nos bracinhos. Tudo perfeito.","Estava na dúvida pois só tem uma foto, mas fui pelos comentários e realmente fiquei surpresa com a qualidade o vestido é a coisa mais linda, o macacão pode ser usado separado do vestido é tecido bom e confortável, a manta eu achei tecido bom e grosso até, coisa mais linda com babados em volta e o bordado maravilhoso super recomendo!.",+1000,139.52,0.9259259259259259,0.039775231379462324,0.2622950819672131,0.2193649602673852,568,178,1,1000.0,0.0036380172805820826,
1397,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,4.2,621.0,5.0,lupo,algodão 95%,Masculino,2021,"Horrível, não são originais, tecido áspero, tamanho não veste bem.","Produto de boa qualidade, compraria novamente. Satisfeita.",Excelente fica justinha no corpo bom material.,+1000,179.9,0.7037037037037038,0.06831203173204055,0.0,0.28822345759012313,463,27,0,1000.0,0.04229195088676671,0.0036380172805820826
1398,Roupa Completa Conjunto Apicultor Pra Tirar Abelhas Mel,4.2,385.0,10.0,pérola,brim 100% algodão,Sem gênero,não definido,"E um produto ótimo adorei fiquei muito confortável dentro dela quando experimentei , mas não usei pra trabalho ainda as abelhas foram embora eu ia fazer o resgate do exame kkkkkkkkkk.","Ótimo material, enteegou super rápido, única observação que queria deixar é que o zíper poderia ser maior pra não dá tanto trabalho na hora de vestir.",Comprei duas uma vei certo a outra veio com defeito na costura um buraco na perna faltou um controle de qualidade.,+5mil,151.7,0.7037037037037038,0.04230938739532834,0.0819672131147541,0.24013505678523925,637,46,1,,0.004092769440654843,0.009095043201455207
